customer,timestamp,item,sequence_position
S001,1,190,1
S001,2,24,2
S001,3,86,3
S001,4,120,4
S001,5,186,5
S001,6,51,6
S001,7,33,7
S001,8,155,8
S001,9,108,9
S001,10,174,10
S001,11,164,11
S001,12,66,12
S001,13,34,13
S001,14,139,14
S001,15,119,15
S001,16,186,16
S001,17,69,17
S001,18,40,18
S001,19,62,19
S002,1,110,1
S002,2,70,2
S002,3,22,3
S002,4,123,4
S002,5,120,5
S002,6,97,6
S002,7,39,7
S002,8,165,8
S002,9,31,9
S002,10,178,10
S002,11,25,11
S002,12,114,12
S003,1,18,1
S003,2,91,2
S003,3,31,3
S003,4,22,4
S003,5,29,5
S003,6,32,6
S003,7,20,7
S003,8,49,8
S003,9,150,9
S003,10,197,10
S003,11,26,11
S003,12,10,12
S003,13,173,13
S003,14,192,14
S003,15,83,15
S003,16,97,16
S003,17,147,17
S003,18,1,18
S003,19,116,19
S004,1,138,1
S004,2,46,2
S004,3,76,3
S004,4,2,4
S004,5,70,5
S004,6,41,6
S004,7,22,7
S004,8,81,8
S004,9,43,9
S004,10,144,10
S004,11,113,11
S004,12,197,12
S004,13,30,13
S005,1,116,1
S005,2,62,2
S005,3,106,3
S005,4,180,4
S005,5,110,5
S005,6,21,6
S005,7,38,7
S005,8,179,8
S005,9,188,9
S005,10,191,10
S005,11,20,11
S005,12,146,12
S005,13,189,13
S005,14,69,14
S005,15,61,15
S005,16,45,16
S005,17,34,17
S005,18,65,18
S005,19,71,19
S006,1,77,1
S006,2,159,2
S006,3,146,3
S006,4,60,4
S006,5,18,5
S006,6,55,6
S006,7,3,7
S006,8,43,8
S006,9,68,9
S006,10,126,10
S006,11,159,11
S007,1,108,1
S007,2,59,2
S007,3,21,3
S007,4,21,4
S007,5,17,5
S007,6,21,6
S007,7,20,7
S007,8,16,8
S007,9,13,9
S007,10,182,10
S008,1,137,1
S008,2,112,2
S008,3,66,3
S008,4,20,4
S008,5,24,5
S008,6,109,6
S008,7,12,7
S008,8,107,8
S008,9,88,9
S008,10,12,10
S008,11,17,11
S008,12,177,12
S008,13,147,13
S008,14,39,14
S008,15,20,15
S008,16,147,16
S008,17,188,17
S008,18,130,18
S008,19,11,19
S008,20,16,20
S009,1,154,1
S009,2,158,2
S009,3,31,3
S009,4,128,4
S009,5,122,5
S009,6,134,6
S009,7,22,7
S009,8,127,8
S009,9,71,9
S009,10,119,10
S009,11,26,11
S009,12,158,12
S009,13,105,13
S009,14,23,14
S010,1,43,1
S010,2,198,2
S010,3,181,3
S010,4,22,4
S010,5,117,5
S010,6,141,6
S010,7,54,7
S010,8,142,8
S010,9,90,9
S010,10,2,10
S010,11,51,11
S010,12,54,12
S010,13,105,13
S010,14,108,14
S010,15,36,15
S010,16,125,16
S010,17,115,17
S010,18,86,18
S011,1,196,1
S011,2,173,2
S011,3,183,3
S011,4,119,4
S011,5,6,5
S011,6,166,6
S011,7,70,7
S011,8,77,8
S011,9,13,9
S011,10,88,10
S011,11,9,11
S011,12,167,12
S011,13,56,13
S012,1,102,1
S012,2,76,2
S012,3,144,3
S012,4,86,4
S012,5,26,5
S012,6,58,6
S012,7,16,7
S012,8,109,8
S012,9,122,9
S012,10,144,10
S012,11,3,11
S012,12,99,12
S012,13,24,13
S012,14,191,14
S012,15,42,15
S012,16,88,16
S013,1,76,1
S013,2,119,2
S013,3,81,3
S013,4,34,4
S013,5,169,5
S013,6,91,6
S013,7,86,7
S013,8,65,8
S013,9,16,9
S013,10,29,10
S013,11,179,11
S013,12,194,12
S013,13,72,13
S013,14,12,14
S013,15,155,15
S013,16,114,16
S013,17,181,17
S014,1,5,1
S014,2,103,2
S014,3,146,3
S014,4,54,4
S014,5,153,5
S014,6,124,6
S014,7,57,7
S014,8,182,8
S014,9,75,9
S014,10,99,10
S014,11,196,11
S014,12,200,12
S014,13,189,13
S014,14,103,14
S014,15,9,15
S014,16,56,16
S015,1,56,1
S015,2,126,2
S015,3,61,3
S015,4,152,4
S015,5,39,5
S015,6,89,6
S015,7,61,7
S015,8,24,8
S015,9,21,9
S015,10,164,10
S015,11,29,11
S015,12,84,12
S015,13,156,13
S015,14,42,14
S015,15,58,15
S015,16,79,16
S015,17,21,17
S015,18,85,18
S015,19,149,19
S015,20,40,20
S016,1,143,1
S016,2,133,2
S016,3,152,3
S016,4,98,4
S016,5,125,5
S016,6,52,6
S016,7,20,7
S016,8,141,8
S016,9,195,9
S016,10,141,10
S016,11,104,11
S016,12,164,12
S016,13,11,13
S016,14,89,14
S016,15,22,15
S016,16,163,16
S016,17,131,17
S016,18,16,18
S017,1,180,1
S017,2,103,2
S017,3,23,3
S017,4,94,4
S017,5,139,5
S017,6,112,6
S017,7,163,7
S017,8,54,8
S017,9,110,9
S017,10,141,10
S017,11,43,11
S017,12,160,12
S017,13,140,13
S018,1,102,1
S018,2,123,2
S018,3,119,3
S018,4,115,4
S018,5,155,5
S018,6,20,6
S018,7,146,7
S018,8,114,8
S018,9,160,9
S018,10,1,10
S018,11,64,11
S018,12,38,12
S018,13,1,13
S018,14,97,14
S018,15,96,15
S018,16,173,16
S019,1,129,1
S019,2,97,2
S019,3,189,3
S019,4,197,4
S019,5,27,5
S019,6,151,6
S019,7,50,7
S019,8,100,8
S019,9,12,9
S019,10,94,10
S019,11,167,11
S019,12,66,12
S019,13,15,13
S019,14,91,14
S019,15,126,15
S019,16,111,16
S019,17,23,17
S019,18,144,18
S020,1,142,1
S020,2,39,2
S020,3,110,3
S020,4,114,4
S020,5,146,5
S020,6,99,6
S020,7,82,7
S020,8,197,8
S020,9,130,9
S020,10,146,10
S020,11,18,11
S020,12,45,12
S020,13,189,13
S020,14,45,14
S020,15,90,15
S020,16,55,16
S020,17,18,17
S020,18,154,18
S020,19,105,19
S021,1,82,1
S021,2,142,2
S021,3,118,3
S021,4,136,4
S021,5,48,5
S021,6,154,6
S021,7,16,7
S021,8,118,8
S021,9,34,9
S021,10,187,10
S021,11,192,11
S021,12,27,12
S021,13,54,13
S021,14,182,14
S021,15,113,15
S021,16,56,16
S021,17,90,17
S021,18,94,18
S022,1,54,1
S022,2,105,2
S022,3,69,3
S022,4,151,4
S022,5,26,5
S022,6,148,6
S022,7,39,7
S022,8,148,8
S022,9,129,9
S022,10,147,10
S022,11,113,11
S022,12,93,12
S023,1,7,1
S023,2,79,2
S023,3,131,3
S023,4,56,4
S023,5,9,5
S023,6,68,6
S023,7,2,7
S023,8,139,8
S023,9,126,9
S023,10,180,10
S024,1,112,1
S024,2,53,2
S024,3,185,3
S024,4,54,4
S024,5,65,5
S024,6,191,6
S024,7,17,7
S024,8,77,8
S024,9,181,9
S024,10,64,10
S024,11,65,11
S024,12,19,12
S024,13,177,13
S024,14,83,14
S025,1,103,1
S025,2,21,2
S025,3,116,3
S025,4,95,4
S025,5,175,5
S025,6,128,6
S025,7,50,7
S025,8,161,8
S025,9,70,9
S025,10,57,10
S026,1,111,1
S026,2,93,2
S026,3,15,3
S026,4,155,4
S026,5,135,5
S026,6,100,6
S026,7,31,7
S026,8,182,8
S026,9,169,9
S026,10,83,10
S026,11,1,11
S026,12,66,12
S027,1,168,1
S027,2,144,2
S027,3,184,3
S027,4,53,4
S027,5,180,5
S027,6,195,6
S027,7,75,7
S027,8,168,8
S027,9,92,9
S027,10,115,10
S027,11,158,11
S027,12,87,12
S028,1,3,1
S028,2,58,2
S028,3,43,3
S028,4,26,4
S028,5,119,5
S028,6,120,6
S028,7,122,7
S028,8,34,8
S028,9,88,9
S028,10,119,10
S028,11,110,11
S028,12,161,12
S028,13,37,13
S028,14,167,14
S028,15,155,15
S028,16,57,16
S028,17,19,17
S028,18,38,18
S029,1,126,1
S029,2,98,2
S029,3,89,3
S029,4,176,4
S029,5,36,5
S029,6,95,6
S029,7,47,7
S029,8,44,8
S029,9,85,9
S030,1,199,1
S030,2,169,2
S030,3,121,3
S030,4,90,4
S030,5,121,5
S030,6,150,6
S030,7,125,7
S030,8,5,8
S030,9,171,9
S030,10,172,10
S030,11,142,11
S030,12,73,12
S030,13,53,13
S030,14,17,14
S030,15,45,15
S030,16,200,16
S030,17,80,17
S031,1,99,1
S031,2,182,2
S031,3,168,3
S031,4,69,4
S031,5,48,5
S031,6,148,6
S031,7,91,7
S031,8,184,8
S031,9,56,9
S031,10,28,10
S031,11,100,11
S031,12,161,12
S031,13,17,13
S032,1,153,1
S032,2,144,2
S032,3,93,3
