Source,Target,Frequency
118,55,15
41,139,14
62,169,13
65,43,13
98,65,13
149,149,12
148,41,12
29,151,12
100,166,12
69,198,12
85,15,12
80,13,12
194,122,12
9,198,12
25,182,12
49,30,12
191,86,12
133,15,12
130,9,12
136,48,11
27,54,11
138,170,11
74,40,11
32,3,11
41,124,11
52,120,11
129,159,11
29,14,11
41,169,11
178,159,11
185,131,11
112,158,11
54,3,11
130,50,11
63,40,11
67,40,11
91,188,11
102,181,11
163,165,11
85,106,11
74,23,11
168,179,11
192,83,10
138,132,10
83,134,10
112,185,10
55,55,10
29,147,10
70,11,10
61,84,10
157,168,10
35,178,10
125,174,10
133,41,10
46,66,10
164,15,10
48,162,10
162,165,10
35,27,10
42,148,10
3,115,10
159,103,10
120,15,10
104,195,10
114,199,10
166,81,10
129,76,10
111,78,10
101,169,10
113,133,10
196,9,10
101,77,10
69,55,10
133,98,10
108,15,10
108,8,10
181,121,10
12,182,10
32,89,10
4,117,10
67,104,10
113,48,10
134,71,10
177,2,10
35,137,10
21,80,10
87,172,10
132,72,10
76,170,10
109,168,10
45,141,10
44,140,10
56,40,10
30,85,10
134,121,10
29,64,10
70,17,10
5,176,10
112,195,10
65,157,10
87,18,10
7,184,10
85,35,10
101,76,10
190,34,10
57,102,10
143,99,10
35,15,10
38,165,10
105,184,10
5,80,10
93,66,10
26,178,10
141,200,10
167,161,10
163,11,10
154,29,10
14,3,10
54,188,10
144,94,10
18,160,10
189,194,10
111,110,10
148,176,10
29,170,10
186,153,10
112,78,10
106,162,10
11,62,10
108,99,10
33,136,10
131,89,10
21,20,9
75,99,9
79,131,9
1,66,9
109,37,9
197,117,9
69,196,9
140,155,9
169,10,9
85,51,9
48,111,9
5,143,9
192,192,9
10,179,9
102,103,9
8,1,9
140,97,9
43,7,9
134,39,9
76,172,9
106,193,9
16,66,9
4,56,9
146,79,9
48,45,9
36,145,9
18,178,9
132,109,9
89,129,9
53,69,9
53,167,9
169,86,9
24,88,9
198,104,9
148,51,9
175,173,9
156,125,9
89,181,9
4,161,9
81,159,9
189,108,9
103,166,9
92,68,9
47,42,9
153,175,9
102,38,9
87,142,9
133,7,9
138,49,9
7,172,9
161,63,9
68,163,9
175,7,9
193,159,9
3,28,9
123,183,9
160,135,9
97,42,9
122,139,9
139,82,9
143,52,9
106,158,9
130,129,9
143,192,9
20,137,9
155,7,9
4,165,9
168,155,9
11,166,9
96,140,9
77,148,9
176,170,9
41,12,9
1,181,9
73,108,9
9,189,9
36,189,9
176,31,9
72,78,9
71,85,9
161,150,9
181,167,9
195,122,9
10,102,9
150,120,9
119,90,9
151,56,9
107,92,9
89,28,9
166,72,9
172,153,9
197,24,9
144,102,9
51,175,9
127,189,9
167,122,9
176,25,9
69,135,9
130,175,9
73,150,9
182,40,9
150,185,9
58,153,9
142,123,9
100,150,9
7,163,9
48,145,9
23,193,9
43,4,9
50,58,9
52,129,9
70,54,9
38,84,9
116,98,9
192,36,9
187,96,9
27,60,9
13,184,9
57,41,9
78,141,9
188,179,9
146,185,9
62,118,9
108,77,9
32,118,9
40,162,9
159,59,9
188,148,9
89,74,9
115,15,9
106,174,9
73,200,9
178,174,9
171,94,9
133,48,9
62,95,9
196,63,9
19,142,9
88,154,9
125,57,9
80,125,9
149,48,9
4,154,9
189,181,9
69,72,9
193,17,9
84,197,9
149,151,9
151,1,9
137,38,9
103,20,9
100,143,9
4,38,9
49,69,9
168,66,9
178,36,9
99,47,9
51,149,9
63,92,9
195,133,9
198,193,9
87,43,9
11,46,9
185,15,9
138,189,9
136,199,9
48,102,9
117,64,9
20,166,9
70,160,9
150,132,9
197,39,9
51,150,9
138,87,9
51,115,9
90,7,9
163,110,9
152,77,9
50,126,9
67,55,9
176,7,9
4,16,9
161,3,9
135,152,9
102,177,9
165,183,9
46,3,9
129,124,9
73,56,9
78,15,9
169,196,9
6,51,9
16,42,9
128,162,9
103,43,9
17,162,9
61,133,9
38,155,9
197,38,9
86,111,9
129,67,9
148,83,9
6,117,9
43,87,9
106,60,9
135,179,9
194,1,9
41,161,9
154,150,9
113,163,9
100,68,9
121,167,9
31,175,9
75,133,9
111,108,9
86,6,9
11,84,9
59,68,9
40,95,9
77,110,9
87,81,9
171,95,9
118,100,9
179,45,9
194,177,9
79,10,9
26,188,9
29,5,9
33,104,9
59,63,9
131,177,9
194,116,9
87,28,9
102,147,9
164,83,9
24,107,9
85,183,9
1,47,9
147,32,9
181,82,9
173,150,9
199,22,9
194,107,9
10,119,9
189,195,9
174,156,9
196,43,9
34,65,8
60,18,8
24,109,8
181,22,8
117,141,8
141,54,8
196,173,8
167,56,8
16,29,8
24,21,8
94,139,8
64,38,8
99,82,8
56,9,8
120,122,8
172,106,8
131,32,8
32,176,8
148,84,8
195,110,8
165,149,8
198,145,8
138,134,8
163,2,8
105,94,8
188,96,8
24,67,8
140,2,8
166,187,8
63,137,8
111,102,8
147,186,8
195,129,8
105,160,8
137,39,8
14,165,8
197,145,8
134,65,8
36,85,8
82,195,8
42,71,8
111,43,8
176,150,8
36,10,8
176,12,8
48,170,8
19,47,8
14,43,8
38,2,8
122,81,8
39,98,8
112,97,8
166,135,8
182,55,8
85,88,8
194,86,8
84,10,8
176,42,8
42,118,8
148,186,8
82,161,8
163,199,8
1,192,8
66,13,8
50,49,8
146,118,8
89,177,8
6,14,8
61,144,8
105,147,8
153,99,8
47,12,8
127,102,8
113,91,8
120,58,8
15,93,8
93,166,8
119,17,8
38,24,8
156,31,8
90,87,8
143,166,8
97,73,8
32,27,8
130,195,8
139,164,8
8,196,8
119,123,8
129,165,8
27,71,8
130,89,8
78,139,8
101,16,8
123,195,8
97,159,8
29,119,8
119,74,8
2,45,8
28,9,8
187,182,8
124,45,8
99,81,8
184,182,8
100,198,8
168,99,8
86,195,8
76,37,8
57,136,8
59,128,8
140,151,8
12,62,8
84,184,8
166,88,8
31,99,8
99,21,8
139,179,8
57,87,8
40,84,8
189,14,8
15,125,8
89,6,8
68,20,8
93,77,8
3,101,8
100,24,8
80,113,8
184,45,8
130,192,8
162,7,8
103,150,8
48,152,8
60,102,8
8,15,8
3,181,8
2,127,8
123,35,8
54,157,8
24,73,8
87,185,8
60,114,8
150,68,8
188,7,8
116,104,8
115,113,8
133,49,8
87,171,8
35,124,8
72,23,8
168,3,8
108,165,8
151,104,8
159,121,8
55,36,8
99,158,8
129,194,8
58,96,8
152,122,8
30,115,8
159,94,8
178,162,8
185,94,8
137,74,8
108,158,8
105,111,8
14,154,8
7,154,8
124,160,8
179,1,8
94,182,8
73,178,8
195,142,8
147,132,8
142,21,8
98,85,8
192,57,8
89,17,8
145,39,8
132,17,8
139,117,8
198,6,8
191,50,8
50,147,8
19,57,8
135,62,8
184,99,8
135,200,8
51,12,8
179,96,8
195,150,8
191,68,8
159,61,8
159,159,8
27,69,8
162,176,8
176,19,8
110,140,8
198,25,8
176,189,8
107,61,8
160,70,8
27,74,8
55,191,8
115,75,8
174,134,8
179,139,8
53,28,8
63,136,8
90,130,8
178,39,8
62,102,8
167,105,8
99,132,8
2,69,8
85,100,8
110,38,8
164,190,8
101,52,8
159,53,8
100,35,8
8,29,8
75,88,8
112,92,8
144,120,8
95,55,8
128,177,8
73,63,8
63,85,8
106,141,8
159,187,8
183,196,8
33,160,8
57,26,8
99,199,8
129,144,8
2,13,8
125,104,8
30,57,8
133,135,8
188,198,8
6,45,8
133,71,8
2,118,8
107,163,8
181,161,8
19,66,8
7,60,8
24,193,8
188,44,8
92,59,8
67,131,8
144,178,8
135,48,8
169,79,8
145,72,8
153,160,8
65,91,8
191,74,8
122,91,8
99,64,8
177,159,8
99,19,8
159,54,8
54,86,8
27,58,8
73,138,8
106,7,8
34,185,8
2,72,8
139,187,8
8,8,8
47,163,8
120,60,8
60,37,8
121,45,8
135,145,8
56,102,8
192,107,8
181,35,8
39,123,8
89,101,8
17,185,8
69,34,8
122,186,8
198,163,8
64,74,8
176,149,8
154,25,8
133,92,8
116,48,8
172,173,8
116,119,8
58,144,8
97,3,8
74,117,8
147,83,8
6,22,8
24,64,8
103,113,8
87,127,8
143,6,8
195,65,8
180,77,8
17,164,8
143,60,8
127,64,8
22,10,8
81,44,8
185,164,8
97,139,8
190,143,8
9,163,8
85,138,8
142,168,8
173,134,8
46,116,8
86,13,8
2,198,8
138,149,8
149,59,8
17,154,8
194,74,8
20,63,8
188,8,8
15,92,8
15,89,8
64,184,8
77,200,8
57,21,8
121,50,8
104,90,8
17,163,8
76,26,8
10,27,8
92,167,8
2,80,8
22,115,8
198,115,8
134,73,8
136,107,8
151,136,8
131,44,8
20,72,8
170,110,8
139,53,8
90,34,8
171,187,8
64,87,8
93,21,8
95,118,8
118,113,8
179,140,8
58,160,8
151,94,8
27,116,8
86,66,8
109,200,8
27,185,8
112,6,8
13,146,8
66,23,8
148,54,8
158,192,8
71,152,8
51,200,8
26,31,8
54,189,8
121,190,8
172,55,8
178,170,8
170,160,8
152,142,8
144,169,8
64,128,8
123,75,8
17,82,8
9,161,8
187,66,8
39,144,8
46,51,8
75,135,8
8,76,8
97,86,8
195,189,8
198,53,8
142,147,8
14,55,8
39,93,8
34,118,8
123,82,8
74,182,8
98,93,8
14,65,8
40,49,8
32,150,8
35,183,8
11,53,8
38,160,8
192,185,8
114,136,8
182,115,8
94,108,8
82,159,8
55,122,8
184,67,8
142,83,8
179,143,8
28,81,8
59,185,8
168,40,8
123,108,8
173,83,8
60,82,8
136,133,8
71,190,8
18,30,8
178,63,8
184,121,8
69,107,8
84,153,8
18,51,8
114,173,8
17,28,8
77,195,8
150,57,8
174,166,8
85,81,8
111,13,8
185,45,8
104,85,8
69,13,8
31,28,8
99,109,8
34,84,8
170,167,8
97,18,8
95,91,8
16,199,8
10,200,8
81,90,8
102,88,8
137,119,8
21,113,8
139,48,8
131,18,8
18,143,8
192,41,8
188,59,8
37,195,8
197,178,8
126,84,8
97,123,8
88,73,8
190,184,8
174,28,8
51,124,8
123,98,8
45,100,8
38,34,8
117,157,8
106,45,8
126,30,8
22,195,8
83,74,8
74,150,8
92,27,8
122,100,8
127,116,8
12,96,8
173,88,8
179,117,8
22,62,8
173,177,8
96,49,8
101,107,8
1,189,8
74,73,8
79,164,8
43,61,8
155,46,8
107,83,8
184,154,8
116,43,8
90,25,8
128,176,8
128,195,8
65,35,8
37,117,8
116,89,8
65,125,8
175,141,8
75,22,8
75,86,8
158,122,8
198,75,8
18,25,8
155,148,8
25,176,8
165,94,8
178,29,8
158,180,8
102,118,8
21,170,8
138,114,8
189,157,8
36,55,8
185,101,8
55,31,8
155,163,8
160,79,8
72,7,8
101,192,8
109,164,8
26,181,8
53,41,8
105,5,8
64,12,8
126,87,8
164,109,8
120,159,8
91,144,8
38,108,8
78,100,8
149,125,8
87,128,8
33,105,8
178,45,8
112,96,8
46,171,8
165,130,8
181,92,8
92,94,8
5,6,8
36,143,8
72,160,8
23,141,8
99,169,8
68,89,8
120,84,8
36,98,8
81,10,8
130,97,8
109,4,8
52,24,8
164,98,8
152,147,8
50,88,8
87,61,8
175,65,8
19,29,8
70,99,8
37,198,8
160,16,8
169,1,8
34,106,8
42,143,8
64,63,8
178,49,8
100,197,8
118,73,8
137,126,8
37,85,8
163,42,8
108,159,8
36,133,8
54,146,8
70,94,8
55,65,8
172,130,8
156,190,8
155,139,8
14,195,8
130,62,8
62,35,8
117,35,8
58,169,8
50,131,8
15,41,8
96,5,8
189,173,8
67,27,8
150,55,8
143,18,8
18,186,8
66,97,8
16,105,8
100,8,8
31,187,8
32,68,8
186,186,8
24,150,8
78,88,8
113,88,8
77,120,8
138,127,8
52,18,8
65,26,8
117,115,8
169,161,8
9,27,8
78,47,8
54,101,8
26,7,8
160,154,8
165,24,8
141,167,8
44,89,8
17,68,8
50,134,8
99,96,8
149,58,8
113,61,8
9,51,8
24,164,8
80,95,8
138,76,8
125,32,8
30,120,8
180,76,8
87,101,8
19,176,8
10,143,8
3,105,8
81,26,8
81,4,8
121,23,8
13,48,8
171,90,8
121,111,8
77,113,8
110,120,8
131,142,8
103,127,8
137,180,8
10,147,8
150,140,8
22,41,8
107,164,8
